ID;RU;EN;JP;CN;KR;DE;FR;IT;ES;PL;TR;SE;КОММЕНТАРИИ
Страна;Россия;Англия/США;Япония;Китай;Корея;Германия;Франция;Италия;Испания;Польша;Турция;Швеция;
Привет;Привет;Hello;こんにちは;你好;안녕;Hallo;Bonjour;Ciao;Hola;Cześć;Merhaba;Hej;
В бой;В бой;Fight! / Play!;戦おう！;开始游戏！;전투 시작!;Kämpfen!;Combat !;Combatti!;¡A luchar!;Do boju!;Savaşa başla!;Strid!;
МЕНЮ;---------------;;;;;;;;;;;;
Выбери локацию;Выбери локацию;Choose location;ロケーションを選択;选择地点;위치 선택;Standort wählen;Choisir un lieu;Scegli una posizione;Elige una ubicación;Wybierz lokalizację;Konum seç;Välj plats;
Связаться с разработчиками ;Связаться с разработчиками;Contact developers;開発者に連絡;联系开发者;개발자에게 문의;Entwickler kontaktieren;Contacter les développeurs;Contatta gli sviluppatori;Contactar a los desarrolladores;Skontaktuj się z twórcami;Geliştiricilerle iletişim kur;Kontakta utvecklarna;
Лес;Лес;Forest;森;森林;숲;Wald;Forêt;Foresta;Bosque;Las;Orman;Skog;
Париж;Париж;Paris;パリ;巴黎;파리;Paris;Paris;Parigi;París;Paryż;Paris;Paris;
Шёлковый путь;Шёлковый путь;Silk Road;シルクロード;丝绸之路;실크로드;Seidenstraße;Route de la soie;Via della Seta;Ruta de la Seda;Jedwabny Szlak;İpek Yolu;Sidenvägen;
Разблокировать 2 локацию;Чтобы разблокировать эту локацию, завершите все миссии в лесу;To unlock this location, complete all missions in the forest;この場所をアンロックするには、森のミッションをすべてクリアしてください;要解锁此地点，请完成森林中的所有任务;이 지역을 잠금 해제하려면 숲의 모든 임무를 완료하세요;Schalte diesen Ort frei, indem du alle Missionen im Wald abschließt;Pour débloquer ce lieu, terminez toutes les missions de la forêt;Per sbloccare questa posizione, completa tutte le missioni nella foresta;Para desbloquear esta ubicación, completa todas las misiones del bosque;Aby odblokować tę lokalizację, ukończ wszystkie misje w lesie;Bu konumu açmak için ormandaki tüm görevleri tamamla;För att låsa upp platsen, slutför alla uppdrag i skogen;
Разблокировать 3 локацию;Вы можете разблокировать эту локацию на день, посмотрев рекламу;You can unlock this location for a day by watching an ad;広告を見ると1日この場所をアンロックできます;观看广告可解锁此地点1天;광고를 보면 하루 동안 이 지역을 잠금 해제할 수 있습니다;Du kannst diesen Ort für einen Tag freischalten, indem du eine Werbung ansiehst;Vous pouvez débloquer ce lieu pendant un jour en regardant une publicité;Puoi sbloccare questa posizione per un giorno guardando un annuncio;Puedes desbloquear esta ubicación por un día viendo un anuncio;Możesz odblokować tę lokalizację na dzień, oglądając reklamę;Reklam izleyerek bu konumu bir günlüğüne açabilirsin;Du kan låsa upp platsen för en dag genom att titta på en annons;
Выбор прицела;Выбор прицела;Crosshair Setup;照準選択;瞄准器选择;조준 선택;Zielwahl;Choix du viseur;Selezione mirino;Selección de mira;Wybór celownika;Nişangah seçimi;Sikteval;
РАЗРАБОТЧИКИ РАЗДЕЛ;---------------;;;;;;;;;;;;
Художник по фонам;Художник по фонам;Environment Artist;環境アーティスト;环境美术师;환경 아티스트;Environment Artist;Artiste environnement;Artista ambienti;Artista de entornos;Artysta środowiska;Çevre Sanatçısı;Miljöartist;
Петрова Маргарита;Петрова Маргарита;Petrova Margarita;Петрова Маргарита;Петрова Маргарита;Петрова Маргарита;Margarita Petrova;Margarita Petrova;Margarita Petrova;Margarita Petrova;Małgorzata Pietrowa;Margarita Petrova;Margarita Petrova;
Геймдизайнер;Геймдизайнер;Game Designer;ゲームデザイナー;游戏设计师;게임 디자이너;Game Designer;Game Designer;Game Designer;Diseñador de juegos;Projektant gier;Oyun Tasarımcısı;Speldesigner;
Яковлев Кирилл;Яковлев Кирилл;Iakovlev Kirill;Яковлев Кирилл;Яковлев Кирилл;Яковлев Кирилл;Kirill Jakowlew;Kirill Yakovlev;Kirill Yakovlev;Kirill Yakovlev;Kirył Jakowlew;Kirill Yakovlev;Kirill Jakovlev;
